Account_Number,First_Name,Last_Name,City,Phone,Customer_SSN,Issuing_Branch_Code,Opening_date
679302,Ora,Divell,Mumbai,83884755,39384117,1014,06-05-2021
655388,Clark,Blaxall,Gurgaon,86551190,35679792,1008,08-01-2021
681946,Roana,Reynoldson,Pune,87850619,28218770,1011,18-05-2021
683685,Clara,Hourstan,Pune,81942463,26419591,1017,21-07-2021
648027,Rhea,Marthen,Goa,89313389,36352861,1012,26-05-2021
628638,Cathie,Rummer,Gurgaon,81018034,30332842,1011,29-05-2021
793271,Blithe,Fillis,Goa,85296612,27915036,1024,31-12-2021
754284,Doralynne,Baglow,Bengaluru,86063152,33713422,1011,17-12-2021
683686,Ginny,McUre,Mumbai,89828776,31960132,1010,01-10-2021
637905,Kelsy,Dowbekin,Solapur,81690937,28440344,1015,06-07-2021
774909,Mychal,Mitchley,Vashi,88067556,26812259,1029,10-12-2021
790459,Tami,Readie,Thane,84529861,20809906,1017,22-09-2021
755548,Tiffany,Axten,Nagur,80049642,32299366,1006,20-10-2021
718718,Antonina,Peller,Gurgaon,88909558,30494966,1018,12-10-2021
772499,Elroy,Shirland,Gurgaon,88863229,33151798,1019,15-01-2021
755250,Marijn,Fain,Gurgaon,82953559,31183832,1009,22-08-2021
784538,Edan,Cleen,Gurgaon,87491097,36623608,1024,17-01-2021
621053,Salvador,Dzenisenka,Bengaluru,88046163,20047749,1022,27-06-2021
610105,Seumas,Saice,Gurgaon,80404229,29149909,1019,11-01-2021
768887,Morlee,McBrearty,Pune,80289815,21272048,1015,29-10-2021
799665,Rafael,Shawyer,Mumbai,82231916,26952533,1024,05-12-2021
673341,Mead,Redley,Amritsar,80707377,21761465,1004,24-08-2021
708501,Shandee,Winterbottom,Delhi,88174734,20306906,1017,10-03-2021
740607,Orrin,Moultrie,Mumbai,88725263,30747021,1013,02-09-2021
756520,Jeremie,Mannooch,Pune,86044122,39599178,1017,29-07-2021
726063,Genni,Orrice,Mumbai,87252150,39076921,1024,11-07-2021
787092,Gert,Durgan,Bhiwandi,83655074,22416217,1023,19-06-2021
731573,Benyamin,Mullin,Palghar,85380830,24033284,1026,06-03-2021
709459,Theresa,Kilby,New Delhi,87355839,23924698,1028,26-01-2021
747639,Francisca,De Mars,Mumbai,86150415,31352873,1003,19-01-2021
707924,Bonni,Ballin,Mumbai,87607926,33050227,1022,23-03-2021
752332,Early,Bispham,Gurgaon,81987019,27098031,1006,18-01-2021
752721,Kendell,Hitter,Pune,88367428,38520003,1019,11-01-2021
618972,Tam,Stannas,Pune,85598112,31556590,1011,20-09-2021
627356,Bobbi,Savory,Goa,80481026,38718296,1005,19-12-2021
